,CV,time,AHT,time24,hour,day,lasthr01
181,334,2018-05-14 08:30:00,605.8592814371258,08:30:00,8,0,1
182,516,2018-05-14 09:00:00,658.5639534883721,09:00:00,9,0,1
183,467,2018-05-14 09:30:00,682.8586723768736,09:30:00,9,0,1
184,445,2018-05-14 10:00:00,715.4269662921348,10:00:00,10,0,1
185,585,2018-05-14 10:30:00,621.5572649572649,10:30:00,10,0,1
186,548,2018-05-14 11:30:00,635.4963503649635,11:30:00,11,0,1
187,523,2018-05-14 12:00:00,717.2810707456979,12:00:00,12,0,1
188,601,2018-05-14 12:30:00,613.0515806988353,12:30:00,12,0,1
189,491,2018-05-14 13:30:00,690.4541751527495,13:30:00,13,0,1
190,516,2018-05-14 14:30:00,638.1453488372093,14:30:00,14,0,1
191,491,2018-05-14 15:00:00,728.1405295315682,15:00:00,15,0,1
192,442,2018-05-14 15:30:00,631.6719457013575,15:30:00,15,0,1
193,363,2018-05-14 16:30:00,577.2754820936639,16:30:00,16,0,1
194,341,2018-05-14 17:30:00,642.8123167155425,17:30:00,17,0,1
195,175,2018-05-14 18:00:00,665.7942857142857,18:00:00,18,0,1
196,153,2018-05-14 18:30:00,502.67973856209153,18:30:00,18,0,1
197,8,2018-05-14 19:00:00,426.0,19:00:00,19,0,0
198,3,2018-05-14 19:30:00,656.6666666666666,19:30:00,19,0,0
199,138,2018-05-15 07:30:00,490.09420289855075,07:30:00,7,1,1
200,229,2018-05-15 08:00:00,566.9519650655022,08:00:00,8,1,1
201,278,2018-05-15 08:30:00,574.4820143884892,08:30:00,8,1,1
202,404,2018-05-15 09:00:00,664.5816831683169,09:00:00,9,1,1
203,420,2018-05-15 09:30:00,660.004761904762,09:30:00,9,1,1
204,468,2018-05-15 10:00:00,651.6346153846154,10:00:00,10,1,1
205,421,2018-05-15 10:30:00,650.6508313539192,10:30:00,10,1,1
206,449,2018-05-15 11:30:00,618.3162583518931,11:30:00,11,1,1
207,503,2018-05-15 12:00:00,631.6441351888668,12:00:00,12,1,1
208,449,2018-05-15 12:30:00,662.3452115812918,12:30:00,12,1,1
209,393,2018-05-15 13:30:00,703.6666666666666,13:30:00,13,1,1
210,385,2018-05-15 14:30:00,671.387012987013,14:30:00,14,1,1
211,447,2018-05-15 15:00:00,568.8903803131991,15:00:00,15,1,1
212,410,2018-05-15 15:30:00,601.1780487804878,15:30:00,15,1,1
213,388,2018-05-15 16:30:00,634.9613402061856,16:30:00,16,1,1
214,297,2018-05-15 17:30:00,607.6666666666666,17:30:00,17,1,1
215,201,2018-05-15 18:00:00,619.1492537313433,18:00:00,18,1,1
216,142,2018-05-15 18:30:00,485.59154929577466,18:30:00,18,1,1
217,6,2018-05-15 19:00:00,390.6666666666667,19:00:00,19,1,0
218,3,2018-05-15 19:30:00,1260.3333333333333,19:30:00,19,1,0
219,98,2018-05-16 07:30:00,582.6734693877551,07:30:00,7,2,1
220,190,2018-05-16 08:00:00,612.7210526315789,08:00:00,8,2,1
221,175,2018-05-16 08:30:00,547.1142857142858,08:30:00,8,2,1
222,383,2018-05-16 09:00:00,681.0182767624021,09:00:00,9,2,1
223,317,2018-05-16 09:30:00,674.9053627760252,09:30:00,9,2,1
224,341,2018-05-16 10:00:00,665.6392961876833,10:00:00,10,2,1
225,355,2018-05-16 10:30:00,567.2901408450704,10:30:00,10,2,1
226,356,2018-05-16 11:30:00,638.9747191011236,11:30:00,11,2,1
227,419,2018-05-16 12:00:00,607.9188544152745,12:00:00,12,2,1
228,414,2018-05-16 12:30:00,672.6811594202899,12:30:00,12,2,1
229,332,2018-05-16 13:30:00,630.5722891566265,13:30:00,13,2,1
230,402,2018-05-16 14:30:00,638.5099502487562,14:30:00,14,2,1
231,369,2018-05-16 15:00:00,623.1436314363143,15:00:00,15,2,1
232,420,2018-05-16 15:30:00,655.8547619047619,15:30:00,15,2,1
233,315,2018-05-16 16:30:00,663.3047619047619,16:30:00,16,2,1
234,224,2018-05-16 17:30:00,670.8125,17:30:00,17,2,1
235,121,2018-05-16 18:00:00,730.5206611570248,18:00:00,18,2,1
236,88,2018-05-16 18:30:00,594.25,18:30:00,18,2,1
237,2,2018-05-16 19:00:00,1265.0,19:00:00,19,2,0
238,107,2018-05-17 07:30:00,548.1775700934579,07:30:00,7,3,1
239,187,2018-05-17 08:00:00,608.8502673796792,08:00:00,8,3,1
240,179,2018-05-17 08:30:00,550.5921787709498,08:30:00,8,3,1
241,367,2018-05-17 09:00:00,630.9100817438692,09:00:00,9,3,1
242,401,2018-05-17 09:30:00,674.0897755610972,09:30:00,9,3,1
243,418,2018-05-17 10:00:00,651.9641148325359,10:00:00,10,3,1
244,384,2018-05-17 10:30:00,630.1041666666666,10:30:00,10,3,1
245,513,2018-05-17 11:30:00,583.6140350877193,11:30:00,11,3,1
246,444,2018-05-17 12:00:00,662.1081081081081,12:00:00,12,3,1
247,437,2018-05-17 12:30:00,606.9153318077804,12:30:00,12,3,1
248,380,2018-05-17 13:30:00,614.25,13:30:00,13,3,1
249,375,2018-05-17 14:30:00,619.7146666666666,14:30:00,14,3,1
250,458,2018-05-17 15:00:00,647.9301310043668,15:00:00,15,3,1
251,440,2018-05-17 15:30:00,611.6886363636364,15:30:00,15,3,1
